query,subject,identity,alignment length,mismatches,gap opens,q start,q end,s start,s end,evalue,bit score
chr22:22437645-23366982,IGLV5-52*01,86.275,51,7,0,357346,357396,247,297,2.00e-08,60.2
chr22:22437645-23366982,IGLV5-52*01,86.275,51,7,0,417587,417637,247,297,2.00e-08,60.2
chr22:22437645-23366982,IGLV5-52*01,87.755,49,6,0,650235,650283,247,295,2.00e-08,60.2
chr22:22437645-23366982,IGLV5-52*01,95.122,41,2,0,778168,778208,247,287,2.00e-08,60.2
chr22:22437645-23366982,IGLV5-52*01,95.000,40,2,0,808455,808494,248,287,6.00e-08,58.6
chr22:22437645-23366982,IGLV5-52*01,72.727,77,21,0,856954,857030,3,79,1.80e-07,57.1
chr22:22437645-23366982,IGLV5-52*01,72.727,77,21,0,14918,14994,241,317,1.80e-07,57.1
chr22:22437645-23366982,IGLV5-52*01,74.648,71,18,0,303839,303909,247,317,1.80e-07,57.1
chr22:22437645-23366982,IGLV5-52*01,84.314,51,8,0,7316,7366,247,297,1.80e-07,57.1
chr22:22437645-23366982,IGLV5-52*01,92.683,41,3,0,395377,395417,247,287,1.80e-07,57.1
chr22:22437645-23366982,IGLV5-52*01,92.683,41,3,0,565438,565478,247,287,1.80e-07,57.1
chr22:22437645-23366982,IGLV5-52*01,92.683,41,3,0,683678,683718,247,287,1.80e-07,57.1
chr22:22437645-23366982,IGLV5-52*01,92.683,41,3,0,700701,700741,247,287,1.80e-07,57.1
chr22:22437645-23366982,IGLV5-52*01,92.683,41,3,0,720347,720387,247,287,1.80e-07,57.1
chr22:22437645-23366982,IGLV5-52*01,92.683,41,3,0,744471,744511,247,287,1.80e-07,57.1
chr22:22437645-23366982,IGLV5-52*01,92.683,41,3,0,759853,759893,247,287,1.80e-07,57.1
chr22:22437645-23366982,IGLV5-52*01,75.385,65,16,0,580046,580110,222,286,1.62e-06,53.9
chr22:22437645-23366982,IGLV5-52*01,71.429,77,22,0,866578,866654,233,309,1.62e-06,53.9
chr22:22437645-23366982,IGLV5-52*01,82.353,51,9,0,334264,334314,247,297,1.62e-06,53.9
chr22:22437645-23366982,IGLV5-52*01,61.594,138,53,0,808226,808363,1,138,4.86e-06,52.3
chr22:22437645-23366982,IGLV5-52*01,77.586,58,13,0,590199,590256,247,304,4.86e-06,52.3
chr22:22437645-23366982,IGLV5-52*01,60.870,138,54,0,744243,744380,1,138,4.38e-05,49.1
chr22:22437645-23366982,IGLV5-52*01,75.862,58,14,0,706411,706468,247,304,4.38e-05,49.1
chr22:22437645-23366982,IGLV5-52*01,75.439,57,14,0,411394,411450,241,297,1.31e-04,47.5
chr22:22437645-23366982,IGLV5-52*01,83.721,43,7,0,384125,384167,241,283,1.31e-04,47.5
chr22:22437645-23366982,IGLV5-52*01,85.366,41,6,0,56068,56108,247,287,1.31e-04,47.5
chr22:22437645-23366982,IGLV5-52*01,88.889,36,4,0,654122,654157,253,288,3.94e-04,46.0
chr22:22437645-23366982,IGLV5-52*01,70.149,67,20,0,720119,720185,1,67,0.001,44.4
chr22:22437645-23366982,IGLV5-52*01,65.517,87,30,0,22353,22439,202,288,0.001,44.4
chr22:22437645-23366982,IGLV5-52*01,82.927,41,7,0,573707,573747,247,287,0.001,44.4
chr22:22437645-23366982,IGLV5-52*01,88.571,35,4,0,757755,757789,254,288,0.001,44.4
chr22:22437645-23366982,IGLV5-52*01,88.571,35,4,0,857195,857229,256,290,0.001,44.4
chr22:22437645-23366982,IGLV5-52*01,96.552,29,1,0,346101,346129,259,287,0.001,44.4
chr22:22437645-23366982,IGLV5-52*01,59.420,138,56,0,777940,778077,1,138,0.004,42.8
chr22:22437645-23366982,IGLV5-52*01,74.074,54,14,0,64872,64925,235,288,0.004,42.8
chr22:22437645-23366982,IGLV5-52*01,77.083,48,11,0,451073,451120,241,288,0.004,42.8
chr22:22437645-23366982,IGLV5-52*01,72.414,58,16,0,658938,658995,247,304,0.004,42.8
chr22:22437645-23366982,IGLV5-52*01,72.414,58,16,0,724447,724504,247,304,0.004,42.8
chr22:22437645-23366982,IGLV5-52*01,80.952,42,8,0,672576,672617,247,288,0.004,42.8
chr22:22437645-23366982,IGLV5-52*01,80.952,42,8,0,733168,733209,247,288,0.004,42.8
chr22:22437645-23366982,IGLV5-52*01,82.500,40,7,0,353692,353731,249,288,0.004,42.8
chr22:22437645-23366982,IGLV5-52*01,84.211,38,6,0,371497,371534,250,287,0.004,42.8
chr22:22437645-23366982,IGLV5-52*01,75.000,52,13,0,804931,804982,258,309,0.004,42.8
chr22:22437645-23366982,IGLV5-52*01,93.333,30,2,0,835827,835856,259,288,0.004,42.8
chr22:22437645-23366982,IGLV5-52*01,68.657,67,21,0,683450,683516,1,67,0.011,41.2
chr22:22437645-23366982,IGLV5-52*01,85.714,35,5,0,788526,788560,256,290,0.011,41.2
chr22:22437645-23366982,IGLV5-52*01,81.579,38,7,0,324130,324167,241,278,0.032,39.6
chr22:22437645-23366982,IGLV5-52*01,78.571,42,9,0,373488,373529,247,288,0.032,39.6
chr22:22437645-23366982,IGLV5-52*01,87.500,32,4,0,347125,347156,247,278,0.032,39.6
chr22:22437645-23366982,IGLV5-52*01,90.000,30,3,0,133495,133524,253,282,0.032,39.6
chr22:22437645-23366982,IGLV5-52*01,79.487,39,8,0,82608,82646,249,287,0.096,38.0
chr22:22437645-23366982,IGLV5-52*01,82.857,35,6,0,690087,690121,254,288,0.096,38.0
chr22:22437645-23366982,IGLV5-52*01,72.152,79,20,1,158471,158549,1,77,0.29,36.5
chr22:22437645-23366982,IGLV5-52*01,77.500,40,9,0,174840,174879,247,286,0.29,36.5
chr22:22437645-23366982,IGLV5-52*01,76.923,39,9,0,8821,8859,1,39,0.86,34.9
chr22:22437645-23366982,IGLV5-52*01,67.213,61,20,0,866378,866438,6,66,0.86,34.9
chr22:22437645-23366982,IGLV5-52*01,80.000,35,7,0,698462,698496,254,288,0.86,34.9
chr22:22437645-23366982,IGLV5-52*01,88.462,26,3,0,62628,62653,1,26,2.6,33.3
chr22:22437645-23366982,IGLV5-52*01,88.462,26,3,0,334039,334064,1,26,2.6,33.3
chr22:22437645-23366982,IGLV5-52*01,88.462,26,3,0,357121,357146,1,26,2.6,33.3
chr22:22437645-23366982,IGLV5-52*01,88.462,26,3,0,417362,417387,1,26,2.6,33.3
chr22:22437645-23366982,IGLV5-52*01,64.179,67,24,0,650019,650085,1,67,7.8,31.7
chr22:22437645-23366982,IGLV5-52*01,65.079,63,22,0,573483,573545,5,67,7.8,31.7
chr22:22437645-23366982,IGLV5-52*01,78.788,33,7,0,683620,683652,183,215,7.8,31.7
chr22:22437645-23366982,IGLV5-52*01,78.788,33,7,0,744413,744445,183,215,7.8,31.7
chr22:22437645-23366982,IGLV5-52*01,95.238,21,1,0,414278,414298,249,269,7.8,31.7
chr22:22437645-23366982,IGLV9-49*03,99.685,317,1,0,319490,319806,1,317,4.59e-141,500
chr22:22437645-23366982,IGLV9-49*03,70.968,279,78,1,7082,7357,1,279,1.75e-38,160
chr22:22437645-23366982,IGLV9-49*03,69.892,279,81,1,856954,857229,3,281,1.27e-35,150
chr22:22437645-23366982,IGLV9-49*03,67.509,277,87,1,820085,820358,5,281,6.09e-29,128
chr22:22437645-23366982,IGLV9-49*03,68.571,280,84,2,138274,138549,1,280,5.49e-28,125
chr22:22437645-23366982,IGLV9-49*03,72.436,156,43,0,73820,73975,5,160,3.60e-24,112
chr22:22437645-23366982,IGLV9-49*03,73.620,163,41,1,158471,158633,1,161,2.62e-21,103
chr22:22437645-23366982,IGLV9-49*03,79.310,87,18,0,295004,295090,1,87,4.18e-15,82.4
chr22:22437645-23366982,IGLV9-49*03,80.247,81,16,0,329190,329270,1,81,3.76e-14,79.2
chr22:22437645-23366982,IGLV9-49*03,77.778,81,18,0,378837,378917,1,81,3.05e-12,72.9
chr22:22437645-23366982,IGLV9-49*03,79.221,77,16,0,412915,412991,1,77,3.05e-12,72.9
chr22:22437645-23366982,IGLV9-49*03,76.471,85,20,0,177744,177828,3,87,3.05e-12,72.9
chr22:22437645-23366982,IGLV9-49*03,75.581,86,21,0,46309,46394,1,86,9.15e-12,71.3
chr22:22437645-23366982,IGLV9-49*03,75.309,81,20,0,352262,352342,1,81,2.47e-10,66.6
chr22:22437645-23366982,IGLV9-49*03,77.941,68,15,0,37168,37235,1,68,6.67e-09,61.8
chr22:22437645-23366982,IGLV9-49*03,84.314,51,8,0,155088,155138,37,87,1.80e-07,57.1
chr22:22437645-23366982,IGLV9-49*03,69.620,79,24,0,220851,220929,1,79,1.46e-05,50.7
chr22:22437645-23366982,IGLV9-49*03,84.091,44,7,0,174948,174991,34,77,4.38e-05,49.1
chr22:22437645-23366982,IGLV9-49*03,67.059,85,28,0,389590,389674,1,85,1.31e-04,47.5
chr22:22437645-23366982,IGLV9-49*03,65.934,91,31,0,778118,778208,188,278,1.31e-04,47.5
chr22:22437645-23366982,IGLV9-49*03,66.667,135,42,1,334039,334173,1,132,3.94e-04,46.0
chr22:22437645-23366982,IGLV9-49*03,66.667,135,42,1,357121,357255,1,132,3.94e-04,46.0
chr22:22437645-23366982,IGLV9-49*03,67.073,82,27,0,74818,74899,1,82,3.94e-04,46.0
chr22:22437645-23366982,IGLV9-49*03,67.949,78,25,0,190864,190941,1,78,3.94e-04,46.0
chr22:22437645-23366982,IGLV9-49*03,70.588,68,20,0,808226,808293,1,68,3.94e-04,46.0
chr22:22437645-23366982,IGLV9-49*03,68.919,74,23,0,171879,171952,8,81,3.94e-04,46.0
chr22:22437645-23366982,IGLV9-49*03,65.882,85,29,0,298764,298848,1,85,0.001,44.4
chr22:22437645-23366982,IGLV9-49*03,84.615,39,6,0,51312,51350,49,87,0.001,44.4
chr22:22437645-23366982,IGLV9-49*03,63.918,97,35,0,804865,804961,183,279,0.001,44.4
chr22:22437645-23366982,IGLV9-49*03,64.835,91,32,0,808404,808494,188,278,0.001,44.4
chr22:22437645-23366982,IGLV9-49*03,65.926,135,43,1,417362,417496,1,132,0.004,42.8
chr22:22437645-23366982,IGLV9-49*03,69.118,68,21,0,650019,650086,1,68,0.004,42.8
chr22:22437645-23366982,IGLV9-49*03,69.118,68,21,0,720119,720186,1,68,0.004,42.8
chr22:22437645-23366982,IGLV9-49*03,70.313,64,19,0,573483,573546,5,68,0.004,42.8
chr22:22437645-23366982,IGLV9-49*03,63.265,98,36,0,74991,75088,183,280,0.004,42.8
chr22:22437645-23366982,IGLV9-49*03,65.432,81,28,0,8821,8901,1,81,0.011,41.2
chr22:22437645-23366982,IGLV9-49*03,79.070,43,9,0,87490,87532,3,45,0.011,41.2
chr22:22437645-23366982,IGLV9-49*03,62.887,97,36,0,690025,690121,183,279,0.011,41.2
chr22:22437645-23366982,IGLV9-49*03,63.736,91,33,0,580020,580110,187,277,0.011,41.2
chr22:22437645-23366982,IGLV9-49*03,63.736,91,33,0,720297,720387,188,278,0.011,41.2
chr22:22437645-23366982,IGLV9-49*03,66.234,77,26,0,800114,800190,231,307,0.011,41.2
chr22:22437645-23366982,IGLV9-49*03,67.647,68,22,0,683450,683517,1,68,0.032,39.6
chr22:22437645-23366982,IGLV9-49*03,67.647,68,22,0,744243,744310,1,68,0.032,39.6
chr22:22437645-23366982,IGLV9-49*03,67.647,68,22,0,777940,778007,1,68,0.032,39.6
chr22:22437645-23366982,IGLV9-49*03,70.000,60,18,0,698241,698300,6,65,0.032,39.6
chr22:22437645-23366982,IGLV9-49*03,70.000,60,18,0,804706,804765,6,65,0.032,39.6
chr22:22437645-23366982,IGLV9-49*03,81.579,38,7,0,804791,804828,94,131,0.032,39.6
chr22:22437645-23366982,IGLV9-49*03,77.273,44,10,0,689957,690000,100,143,0.032,39.6
chr22:22437645-23366982,IGLV9-49*03,62.500,96,36,0,698401,698496,184,279,0.032,39.6
chr22:22437645-23366982,IGLV9-49*03,63.529,85,31,0,62628,62712,1,85,0.096,38.0
chr22:22437645-23366982,IGLV9-49*03,67.164,67,22,0,14718,14784,2,68,0.096,38.0
chr22:22437645-23366982,IGLV9-49*03,68.852,61,19,0,866378,866438,6,66,0.096,38.0
chr22:22437645-23366982,IGLV9-49*03,82.857,35,6,0,698329,698363,97,131,0.096,38.0
chr22:22437645-23366982,IGLV9-49*03,65.333,75,26,0,675265,675339,233,307,0.096,38.0
chr22:22437645-23366982,IGLV9-49*03,66.176,68,23,0,19526,19593,1,68,0.29,36.5
chr22:22437645-23366982,IGLV9-49*03,92.308,26,2,0,51268,51293,1,26,0.29,36.5
chr22:22437645-23366982,IGLV9-49*03,84.375,32,5,0,579949,579980,101,132,0.29,36.5
chr22:22437645-23366982,IGLV9-49*03,76.190,42,10,0,706290,706331,102,143,0.29,36.5
chr22:22437645-23366982,IGLV9-49*03,62.353,85,32,0,565210,565294,1,85,0.86,34.9
chr22:22437645-23366982,IGLV9-49*03,76.923,39,9,0,413006,413044,86,124,0.86,34.9
chr22:22437645-23366982,IGLV9-49*03,74.419,43,11,0,395244,395286,90,132,0.86,34.9
chr22:22437645-23366982,IGLV9-49*03,80.000,35,7,0,757622,757656,97,131,0.86,34.9
chr22:22437645-23366982,IGLV9-49*03,72.727,44,12,0,518142,518185,23,66,2.6,33.3
chr22:22437645-23366982,IGLV9-49*03,91.667,24,2,0,51370,51393,101,124,2.6,33.3
chr22:22437645-23366982,IGLV9-49*03,91.667,24,2,0,352368,352391,101,124,2.6,33.3
chr22:22437645-23366982,IGLV9-49*03,91.667,24,2,0,378943,378966,101,124,2.6,33.3
chr22:22437645-23366982,IGLV9-49*03,85.714,28,4,0,646773,646800,103,130,2.6,33.3
chr22:22437645-23366982,IGLV9-49*03,60.417,96,38,0,590145,590240,184,279,2.6,33.3
chr22:22437645-23366982,IGLV9-49*03,73.171,41,11,0,142480,142520,5,45,7.8,31.7
chr22:22437645-23366982,IGLV9-49*03,69.388,49,15,0,171969,172017,95,143,7.8,31.7
chr22:22437645-23366982,IGLV9-49*03,70.213,47,14,0,220957,221003,101,147,7.8,31.7
chr22:22437645-23366982,IGLV9-49*03,80.645,31,6,0,858537,858567,101,131,7.8,31.7
chr22:22437645-23366982,IGLV9-49*03,78.788,33,7,0,74925,74957,102,134,7.8,31.7
chr22:22437645-23366982,IGLV9-49*03,82.759,29,5,0,672456,672484,103,131,7.8,31.7
chr22:22437645-23366982,IGLV9-49*03,82.759,29,5,0,680211,680239,103,131,7.8,31.7
chr22:22437645-23366982,IGLV9-49*03,69.388,49,15,0,835808,835856,231,279,7.8,31.7
chr22:22437645-23366982,IGLV9-49*03,73.171,41,11,0,735952,735992,267,307,7.8,31.7
chr22:22437645-23366982,IGLV9-49*02,99.685,317,1,0,319490,319806,1,317,4.59e-141,500
chr22:22437645-23366982,IGLV9-49*02,70.968,279,78,1,7082,7357,1,279,1.75e-38,160
chr22:22437645-23366982,IGLV9-49*02,70.251,279,80,1,856954,857229,3,281,1.42e-36,153
chr22:22437645-23366982,IGLV9-49*02,67.509,277,87,1,820085,820358,5,281,6.09e-29,128
chr22:22437645-23366982,IGLV9-49*02,68.571,280,84,2,138274,138549,1,280,5.49e-28,125
chr22:22437645-23366982,IGLV9-49*02,73.077,156,42,0,73820,73975,5,160,4.00e-25,115
chr22:22437645-23366982,IGLV9-49*02,74.233,163,40,1,158471,158633,1,161,2.92e-22,106
chr22:22437645-23366982,IGLV9-49*02,79.310,87,18,0,295004,295090,1,87,4.18e-15,82.4
chr22:22437645-23366982,IGLV9-49*02,80.247,81,16,0,329190,329270,1,81,3.76e-14,79.2
chr22:22437645-23366982,IGLV9-49*02,77.778,81,18,0,378837,378917,1,81,3.05e-12,72.9
chr22:22437645-23366982,IGLV9-49*02,79.221,77,16,0,412915,412991,1,77,3.05e-12,72.9
chr22:22437645-23366982,IGLV9-49*02,76.471,85,20,0,177744,177828,3,87,3.05e-12,72.9
chr22:22437645-23366982,IGLV9-49*02,75.581,86,21,0,46309,46394,1,86,9.15e-12,71.3
chr22:22437645-23366982,IGLV9-49*02,75.309,81,20,0,352262,352342,1,81,2.47e-10,66.6
chr22:22437645-23366982,IGLV9-49*02,68.276,145,44,1,37168,37310,1,145,7.41e-10,65.0
chr22:22437645-23366982,IGLV9-49*02,84.314,51,8,0,155088,155138,37,87,1.80e-07,57.1
chr22:22437645-23366982,IGLV9-49*02,69.620,79,24,0,220851,220929,1,79,1.46e-05,50.7
chr22:22437645-23366982,IGLV9-49*02,84.091,44,7,0,174948,174991,34,77,4.38e-05,49.1
chr22:22437645-23366982,IGLV9-49*02,67.059,85,28,0,389590,389674,1,85,1.31e-04,47.5
chr22:22437645-23366982,IGLV9-49*02,66.667,135,42,1,334039,334173,1,132,3.94e-04,46.0
chr22:22437645-23366982,IGLV9-49*02,66.667,135,42,1,357121,357255,1,132,3.94e-04,46.0
chr22:22437645-23366982,IGLV9-49*02,67.073,82,27,0,74818,74899,1,82,3.94e-04,46.0
chr22:22437645-23366982,IGLV9-49*02,67.949,78,25,0,190864,190941,1,78,3.94e-04,46.0
chr22:22437645-23366982,IGLV9-49*02,70.588,68,20,0,808226,808293,1,68,3.94e-04,46.0
chr22:22437645-23366982,IGLV9-49*02,68.919,74,23,0,171879,171952,8,81,3.94e-04,46.0
chr22:22437645-23366982,IGLV9-49*02,65.882,85,29,0,298764,298848,1,85,0.001,44.4
chr22:22437645-23366982,IGLV9-49*02,84.615,39,6,0,51312,51350,49,87,0.001,44.4
chr22:22437645-23366982,IGLV9-49*02,63.918,97,35,0,690025,690121,183,279,0.001,44.4
chr22:22437645-23366982,IGLV9-49*02,64.835,91,32,0,778118,778208,188,278,0.001,44.4
